"order","productcode","productgroup","productsummary","description","eutr"
"ED","44081091","Veneer","Softwood","SMALL BOARDS FOR THE MANUFACTURE OF PENCILS, OF CONIFEROUS WOOD, OF A THICKNESS OF <= 6 MM",1
"ED","44081093","Veneer","Softwood","SHEETS FOR VENEERING, INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD, FOR CONIFEROUS PLYWOOD OR FOR OTHER SIMILAR LAMINATED CONIFEROUS WOOD AND OTHER CONIFEROUS WOOD, SAWN LENGTHWISE, SLICED OR PEELED, OF A THICKNESS OF <= 1 MM (EXCL. SANDED)",1
"ED","44081098","Veneer","Softwood","SHEETS FOR VENEERING, INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD, FOR CONIFEROUS PLYWOOD OR FOR OTHER SIMILAR LAMINATED CONIFEROUS WOOD AND OTHER CONIFEROUS WOOD, SAWN LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT SPLICED, OF A THICKNESS OF <= 6 MM (EX",1
"ED","44081099","Veneer","Softwood","SHEETS FOR VENEERING, INCL. THOSE OBTAINED BY SLICING LAMINATED WOOD, FOR CONIFEROUS PLYWOOD OR FOR OTHER SIMILAR LAMINATED CONIFEROUS WOOD AND OTHER CONIFEROUS WOOD, SAWN LENGTHWISE, SLICED OR PEELED, WHETHER OR NOT SPLICED, OF A THICKNESS OF > 1 MM TO 6",1
"FB","44121310","Plywood","Tropical hardwood","'PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF ONE THE FOLLOWING: DARK RED MERANTI, LIGHT RED MERANTI, WHITE LAUAN, SIPO, LIMBA, OBECHE, OKOUME, ACAJOU D'AFRIQUE, SAPELLI, VIROLA, MAHOGANY 'SWIETENIA SPP.', PALI",1
"FB","44121390","Plywood","Tropical hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER (EXCL. OKOUME, DARK RED MERANTI, LIGHT RED MERANTI, WHITE LAUAN, SIPO, LIMBA, OBECHE, ACAJOU D'AFRIQUE",1
"FB","44122210","Plywood","Tropical hardwood","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER AND CONTAINING AT LEAST ONE LAYER OF PARTICLE BOARD (EXCL. HOLLOW-CORE COMPOSITE PANELS AND SHEETS IDENTIFIABLE AS FU",1
"FB","44122299","Plywood","Tropical hardwood","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER, NOT CONTAINING PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. PLYWOOD, SHEETS OF COMPRESSED",1
"FB","44123110","Plywood","Tropical hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF ONE THE FOLLOWING: DARK RED MERANTI, LIGHT RED MERANTI, WHITE LAUAN, SIPO, LIMBA, OBECHE, OKOUM+?, ACAJOU D'AFRIQUE, SAPELLI, VIROLA, MAHOGANY ""SWIETENIA SPP."", PALI",1
"FB","44123190","Plywood","Tropical hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF TROPICAL WOOD (EXCL. WITH AN OUTER PLY OF OKOUME, DARK RED MERANTI, LIGHT RED MERANTI, WHITE LAUAN, SIPO, LIMBA, OBECHE, ACAJOU D'AFRIQUE, SAPELLI, VIROLA, MAHOGANY",1
"FB","44129210","Plywood","Tropical hardwood","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER AND CONTAINING AT LEAST ONE LAYER OF PARTICLE BOARD (EXCL. WOOD OF SUBHEADING 4412.22, HOLLOW-CORE COMPOSITE PANELS AND SHEE",1
"FB","44129299","Plywood","Tropical hardwood","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER, NOT CONTAINING PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. WOOD OF SUBHEADING NO 4412.22-99, SHEE",1
"FC","44121400","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR OTHER TROPICAL WOOD THAN SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER (EXCL. SHEETS OF COMPRESSED WOOD, HOLLOW-CORE COMPOSITE PANELS, INLAID",1
"FC","44122300","Plywood","Other hardwood","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR OTHER TROPICAL WOOD THAN SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER AND CONTAINING AT LEAST ONE LAYER OF PARTICLE BOARD (EXCL. HOLLOW-CORE COMPOSITE PANEL",1
"FC","44122980","Plywood","Other hardwood","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER, NOT CONTAINING PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARDE (EXCL. PLYWO",1
"FC","44123200","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR OTHER TROPICAL WOOD THAN SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER (EXCL. OF BAMBOO, AND SHEETS OF COMPRESSED WOOD, HOLLOW-CORE COMPOSITE",1
"FC","44123210","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF ALDER,  ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, HICKORY, HORNBEAM, HORSE CHESTNUT, LIME, MAPLE, OAK, PLANE TREE, POPLAR, ROBINIA, WALNUT OR YELLOW POPLAR (EXCL. SH",1
"FC","44123290","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR OTHER TROPICAL WOOD THAN SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER (EXCL. OF ALDER,  ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, HICKORY, H",1
"FC","44123300","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OF THE SPECIES ALDER, ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, EUCALYPTUS, HICKORY, HORSE CHESTNUT, LIME, MAPLE, OAK, PLANE TREE, POPLAR, ASPEN,",1
"FC","44123400","Plywood","Other hardwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD (EXCL. OF BAMBOO, WITH AN OUTER PLY OF TROPICAL WOOD OR OF ALDER, ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, EUCALYPTUS, HICKORY, HORSE CHESTNUT,",1
"FD","44121900","Plywood","Softwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK (EXCL. PLYWOOD OF SUBHEADINGS 4412.13 AND 4412.14; SHEETS OF COMPRESSED WOOD, HOLLOW-CORE COMPOSITE PANELS, INLAID WOOD AND SHEETS IDENTIFIABLE AS FURNITURE COMPONENTS)",1
"FD","44123900","Plywood","Softwood","PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK (EXCL. OF BAMBOO, PLYWOOD OF SUBHEADINGS 4412.31 AND 4412.32; SHEETS OF COMPRESSED WOOD, CELLULAR WOOD PANELS, INLAID WOOD AND SHEETS IDENTIFIABLE AS FURNITURE COMPONENTS)",1
"FD","44129300","Plywood","Softwood","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE LAYER OF PARTICLE BOARD (EXCL. WOOD OF SUBHEADING 4412.23, HOLLOW-CORE COMPOSITE PANELS AND SHEETS IDENTIFIABLE AS FURNITURE COMPONENTS)",1
"FE","44122291","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER AND A BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. SHEETS OF COMPRESSED WOOD, INLAID WOOD AND SHEETS IDENTIFIABLE AS F",1
"FE","44122920","Plywood","Blockboard and similar","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD OR A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER, AND CONTAINING BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. SHEETS OF COMPRESSED WOOD, INLAID WO",1
"FE","44129291","Plywood","Blockboard and similar","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE PLY OF A TROPICAL WOOD SPECIFIED IN SUBHEADING NOTE 1 TO THIS CHAPTER, AND CONTAINING BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. WOOD OF HEADING NO 4412.22-91, SHEETS OF COMPRESSED WOOD, INLAID",1
"FE","44129410","Plywood","Blockboard and similar","LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD, AND CONTAINING BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. OF BAMBOO, PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, SHEETS OF COMPRESSED WOOD, INLAID WOOD AND SHEETS IDENTIFI",1
"FE","44129490","Plywood","Blockboard and similar","LAMINATED WOOD AS BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. OF BAMBOO, SUCH WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD, PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, SHEETS OF COMPRESSED WOOD, CELLULAR WOOD PANELS, INLAID WOOD AND",1
"FE","44129920","Plywood","Blockboard and similar","VENEERED WOOD AND SIMILAR LAMINATED WOOD WITH BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. WOOD OF SUBHEADINGS NOS 4412.29-20 AND 4412.92-91, SHEETS OF COMPRESSED WOOD, HOLLOW-CORE COMPOSITE PANELS, INLAID WOOD AND SHEETS IDENTIFIABLE AS FURNITURE COMPONE",1
"FE","44129930","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE LAYER OF PARTICLE BOARD, WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. OF BAMBOO, PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK, SHEETS OF COMPRESSED WOOD, CELLULAR WOOD PANEL",1
"FE","44129940","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF ALDER,  ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, HICKORY, HORNBEAM, HORSE CHESTNUT, LIME, MAPLE, OAK, PLANE TREE, POPLAR, ROBINIA, WALNUT OR YELLOW POPLAR, NOT CONTAINING LAYERS OF",1
"FE","44129950","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD, NOT CONTAINING LAYERS OF PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. OF ALDER,  ASH, BEECH, BIRCH, CHERRY, CHESTNUT, ELM, HICKORY, H",1
"FE","44129970","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD NOT CONTAINING PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. OF BAMBOO, SUCH WITH AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD, PLYWOOD CONSISTING SOLELY OF SHEETS OF WOOD <= 6 MM THICK",1
"FE","44129980","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD NOT CONTAINING PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. WOOD OF SUBHEADINGS 4412.29.80 AND 4412.92.99, PLYWOOD, SHEETS OF COMPRESSED WOOD, HOLLOW-CORE COMPOSITE PANELS, PARQUET PANE",1
"FE","44129985","Plywood","Blockboard and similar","VENEERED PANELS AND SIMILAR LAMINATED WOOD NOT CONTAINING LAYERS OF PARTICLE BOARD AND WITHOUT BLOCKBOARD, LAMINBOARD OR BATTENBOARD (EXCL. THOSE CONTAINING AT LEAST ONE OUTER PLY OF NON-CONIFEROUS WOOD, OF BAMBOO, PLYWOOD CONSISTING SOLELY OF SHEETS OF W",1
"GB","44111110","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED",1
"GB","44111190","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE BOARD, WHETH",1
"GB","44111210","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS <=-?5MM, NOT MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111290","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS <=-?5MM, MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111310","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS >-?5MM BUT <=-?9MM, NOT MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111390","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS >-?5MM BUT <=-?9MM, MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111410","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS >-?9MM, NOT MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111490","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, OF A THICKNESS >-?9MM, MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44111910","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COATED",1
"GB","44111990","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COATED (EXCL. SANDED ONLY; MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE BOA",1
"GB","44112110","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,5 G TO 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED",1
"GB","44112190","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,5 G TO 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE BOA",1
"GB","44112910","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,5 G TO 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COVERED",1
"GB","44112990","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,5 G TO 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. SANDED ONLY; MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE",1
"GB","44113110","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,35 G TO 0,5 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED",1
"GB","44113190","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,35 G TO 0,5 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COATED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE BO",1
"GB","44113910","Composite panels","Fibreboard","MEDIUM DENSITY FIBREBOARD ""MDF"" OF WOOD, WITH A DENSITY OF > 0,35 G TO 0,5 G/CM-?, MECHANICALLY WORKED OR SURFACE-COATED",1
"GB","44113990","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR ORGANIC BONDING AGENTS, WITH A DENSITY OF > 0,35 G TO 0,5 G/CM-?, MECHANICALLY WORKED OR SURFACE-COATED (EXCL. SANDED ONLY; MEDIUM DENSITY FIBREBOARD ""MDF; PARTICLE",1
"GB","44119100","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF <= 0,35 G/CM-? (EXCL. MECHANICALLY WORKED OR SURFACE-COATED; PARTICLE BOARD, WHETHER OR NOT BONDED WITH ONE OR MORE",1
"GB","44119210","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, OF A DENSITY OF > 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOARD, WHETH",1
"GB","44119290","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, OF A DENSITY OF > 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOARD, WHETHER O",1
"GB","44119310","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, OF A DENSITY OF > 0,5 G TO 0,8 G/CM-?, NOT MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOA",1
"GB","44119390","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR ORGANIC BONDING AGENTS, OF A DENSITY OF > 0,5 G TO 0,8 G/CM-?, MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOARD, WHETHE",1
"GB","44119410","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, OF A DENSITY OF <= 0,5 G/CM-? (EXCL. MECHANICALLY WORKED OR SURFACE-COVERED; MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOARD, WHETHER",1
"GB","44119490","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF <= 0,5 G/CM-?, MECHANICALLY WORKED OR SURFACE-COVERED (EXCL. MEDIUM DENSITY FIBREBOARD ""MDF""; PARTICLE BOARD, WHETHE",1
"GB","44119900","Composite panels","Fibreboard","FIBREBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, WITH A DENSITY OF <= 0,35 G/CM-?, MECHANICALLY WORKED OR SURFACE-COATED (EXCL. SANDED ONLY; PARTICLE BOARD, WHETHER OR NOT BONDED WITH",1
"GC","44101110","Composite panels","Particle Board","PARTICLE BOARD OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, UNWORKED OR NOT FURTHER WORKED THAN SANDED (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND CELLULAR WOOD PANELS)",1
"GC","44101130","Composite panels","Particle Board","PARTICLE BOARD OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, SURFACE-COVERED WITH MELAMINE-IMPREGNATED PAPER (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND CELLULAR WOOD PANELS)",1
"GC","44101150","Composite panels","Particle Board","PARTICLE BOARD OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, SURFACE-COVERED WITH DECORATIVE LAMINATES OF PLASTICS (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND CELLULAR WOOD PANELS)",1
"GC","44101190","Composite panels","Particle Board","PARTICLE BOARD OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES (EXCL. UNWORKED OR NOT FURTHER WORKED THAN SANDED, SURFACE-COVERED WITH MELAMINE-IMPREGNATED PAPER OR WITH DECORATIVE LAMINATES OF PLASTICS, ORIENTED STRAN",1
"GC","44101210","Composite panels","Particle Board","ORIENTED STRAND ""OSB"", OF WOOD, UNWORKED OR NOT FURTHER WORKED THAN SANDED",1
"GC","44101290","Composite panels","Particle Board","ORIENTED STRAND BOARD ""OSB"" OF WOOD (EXCL. UNWORKED OR NOT FURTHER WORKED THAN SANDED)",1
"GC","44101900","Composite panels","Particle Board","WAFERBOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES (EXCL. PARTICLE BOARD, ORIENTED STRAND BOARD, FIBREBOARD AND CELLULAR WOOD PANELS)",1
"GC","44101910","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, UNWORKED OR NOT FURTHER WORKED THAN SANDED (EXCL. WAFERBOARD AND ORIENTED STRAND BOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANELS)",1
"GC","44101930","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, SURFACED WITH HIGH-PRESSURE DECORATIVE LAMINATES (EXCL. WAFERBOARD, ORIENTED STRAND BOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANELS)",1
"GC","44101950","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS, SURFACED WITH MELAMINE-RESIN IMPREGNATED PAPER (EXCL. WAFERBOARD AND ORIENTED STRAND BOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANELS)",1
"GC","44101990","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BONDING AGENTS (EXCL. WAFERBOARD AND ORIENTED STRAND BOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANELS, UNWORKED OR NOT FURTHER WORKED THAN SANDED, BOARD",1
"GC","44102100","Composite panels","Particle Board","ORIENTED STRAND BOARD AND WAFERBOARD, OF WOOD, UNWORKED OR NOT FURTHER WORKED THAN SANDED",1
"GC","44102900","Composite panels","Particle Board","ORIENTED STRAND BOARD AND WAFERBOARD, OF WOOD (EXCL. UNWORKED OR NOT FURTHER WORKED THAN SANDED)",1
"GC","44103100","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, UNWORKED OR NOT FURTHER WORKED THAN SANDED (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANELS)",1
"GC","44103200","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, SURFACE-COVERED WITH MELAMINE-IMPREGNATED PAPER (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE PANEL",1
"GC","44103300","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES, SURFACE-COVERED WITH DECORATIVE LAMINATES OF PLASTICS (EXCL. ORIENTED STRAND BOARD AND WAFERBOARD, FIBREBOARD AND HOLLOW-CORE COMPOSITE",1
"GC","44103900","Composite panels","Particle Board","PARTICLE BOARD AND SIMILAR BOARD, OF WOOD, WHETHER OR NOT AGGLOMERATED WITH RESINS OR OTHER ORGANIC BINDING SUBSTANCES (EXCL. UNWORKED OR NOT FURTHER WORKED THAN SANDED, SURFACE-COVERED WITH MELAMINE-IMPREGNATED PAPER OR WITH DECORATIVE LAMINATES OF PLAST",1
